Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanTargetPeakLoss_dB,MeanRuntime_ms,Conclusion
FMNoiseAimedJam,Identity,10.0,20,1.0,0.9,0.9,0.0,0.65,0.65,1.1,1.1,-8.148567092375279e-15,0.0028646027203649282,Baseline
FMNoiseAimedJam,WLN,10.0,20,1.0,0.9,0.9,1.4154874011914313,0.65,0.65,1.1,1.05,3.5553590524522343,2.1289751486619934,Recommended
FMNoiseAimedJam,FDC,10.0,20,1.0,0.9,0.9,-0.005010221937268078,0.65,0.65,1.1,1.1,-0.08135966189593409,0.2644560910994187,Neutral
FMNoiseAimedJam,adapt_filter,10.0,20,1.0,0.9,1.0,19.379638241473778,0.65,1.0,1.1,229.4,-0.3221955194289813,23.571641751914285,Recommended
FMNoiseAimedJam,FrFT,10.0,20,1.0,0.9,0.85,-0.20491591300078654,0.65,0.7,1.1,1.05,-0.3170859767357289,36.300458243931644,Harmful/Not demonstrated
FMNoiseAimedJam,qpzh,10.0,20,1.0,0.9,1.0,2.631945884721373,0.65,0.6,1.1,1.3,-0.11162312399849776,0.706337540759705,Recommended
FMNoiseAimedJam,Identity,20.0,20,1.0,0.15,0.15,0.0,242.2,242.2,1.1,1.1,-6.702075892545349e-15,0.0028583541279658675,Baseline
FMNoiseAimedJam,WLN,20.0,20,1.0,0.15,0.35,2.429394626499838,242.2,123.3,1.1,0.95,4.420948488370994,2.1293333964422345,Recommended
FMNoiseAimedJam,FDC,20.0,20,1.0,0.15,0.15,-0.00504107763877446,242.2,242.2,1.1,1.1,-0.08241261393026657,0.26310630491934717,Neutral
FMNoiseAimedJam,adapt_filter,20.0,20,1.0,0.15,1.0,27.67742626813225,242.2,1.0,1.1,220.6,-1.224717534325233,23.53947699884884,Conditional
FMNoiseAimedJam,FrFT,20.0,20,1.0,0.15,0.2,-0.22492244489217753,242.2,242.2,1.1,1.1,-0.40679986984840505,36.27247920667287,Harmful/Not demonstrated
FMNoiseAimedJam,qpzh,20.0,20,1.0,0.15,0.35,-0.7924260866566032,242.2,241.9,1.1,1.8,-6.557957691618675,0.7859125500544906,Conditional
FMNoiseAimedJam,Identity,30.0,20,1.0,0.05,0.05,0.0,364.3,364.3,1.05,1.05,-3.5197952529194987e-15,0.003010459477081895,Baseline
FMNoiseAimedJam,WLN,30.0,20,1.0,0.05,0.15,1.546767818125242,364.3,322.05,1.05,0.95,3.5178455681985072,2.150383248226717,Recommended
FMNoiseAimedJam,FDC,30.0,20,1.0,0.05,0.05,0.0029387649874120124,364.3,364.3,1.05,1.05,-0.07149093567091021,0.2674480027053505,Neutral
FMNoiseAimedJam,adapt_filter,30.0,20,1.0,0.05,1.0,31.89562565779412,364.3,1.0,1.05,210.85,-2.9173858609960126,23.69681040290743,Conditional
FMNoiseAimedJam,FrFT,30.0,20,1.0,0.05,0.05,-0.2961926870165946,364.3,364.2,1.05,1.1,-0.5318584849619805,36.49454574624542,Conditional
FMNoiseAimedJam,qpzh,30.0,20,1.0,0.05,0.0,-8.150067641077138,364.3,364.05,1.05,2.05,-15.562159325242188,0.8887250412954018,Harmful/Not demonstrated
FMNoiseSaopin,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.45,1.45,-8.678947198979587e-15,0.0032249459763988853,Baseline
FMNoiseSaopin,WLN,0.0,20,1.0,1.0,1.0,0.2615401563548104,0.0,0.0,1.45,1.35,2.3780820356287533,2.189668797655031,Recommended
FMNoiseSaopin,FDC,0.0,20,1.0,1.0,1.0,0.00025743065722103606,0.0,0.0,1.45,1.45,-0.003247097597007633,0.2728916413616389,Neutral
FMNoiseSaopin,adapt_filter,0.0,20,1.0,1.0,1.0,7.926712247873285,0.0,1.0,1.45,219.4,-0.15048657905097182,23.784975000307895,Recommended
FMNoiseSaopin,FrFT,0.0,20,1.0,1.0,1.0,-0.3126518071717969,0.0,0.0,1.45,1.25,-0.3367086549729528,36.271370900794864,Conditional
FMNoiseSaopin,qpzh,0.0,20,1.0,1.0,1.0,0.0672632645439318,0.0,0.0,1.45,1.3,0.0012392096952022725,0.6280562520259991,Conditional
FMNoiseSaopin,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.2,1.2,-8.678947198979587e-15,0.0029126473236829042,Baseline
FMNoiseSaopin,WLN,10.0,20,1.0,1.0,1.0,4.639528705445284,0.0,0.0,1.2,1.2,4.516345961983073,2.1614957513520494,Recommended
FMNoiseSaopin,FDC,10.0,20,1.0,1.0,1.0,0.0018108666144716068,0.0,0.0,1.2,1.2,-0.02625428124131073,0.26502705295570195,Neutral
FMNoiseSaopin,adapt_filter,10.0,20,1.0,1.0,1.0,15.206966667478927,0.0,1.0,1.2,217.2,-0.150071846390878,23.631016750005074,Recommended
FMNoiseSaopin,FrFT,10.0,20,1.0,1.0,1.0,-0.3172310250288296,0.0,0.0,1.2,1.1,-0.3349220676112438,36.33029589836951,Conditional
FMNoiseSaopin,qpzh,10.0,20,1.0,1.0,1.0,0.05861111728534674,0.0,0.0,1.2,1.2,0.006310258706639942,0.6275853986153379,Neutral
FMNoiseSaopin,Identity,20.0,20,1.0,1.0,1.0,0.0,37.4,37.4,1.1,1.1,-8.678947198979587e-15,0.0032708485377952456,Baseline
FMNoiseSaopin,WLN,20.0,20,1.0,1.0,1.0,8.255386805035949,37.4,0.0,1.1,1.3,6.3841606401882585,2.4395855463808402,Recommended
FMNoiseSaopin,FDC,20.0,20,1.0,1.0,1.0,0.002881258028612965,37.4,37.4,1.1,1.1,-0.03997035949585476,0.2827250602422282,Neutral
FMNoiseSaopin,adapt_filter,20.0,20,1.0,1.0,1.0,24.202018151618045,37.4,1.0,1.1,215.15,-0.14875724897791237,24.43975420028437,Recommended
FMNoiseSaopin,FrFT,20.0,20,1.0,1.0,1.0,-0.30700628051628315,37.4,37.55,1.1,0.95,-0.33928947650200186,38.71592704963405,Conditional
FMNoiseSaopin,qpzh,20.0,20,1.0,1.0,1.0,0.07862756335919655,37.4,37.35,1.1,1.1,-0.12172227026845917,0.6817834044340998,Conditional
FMNoiseSaopin,Identity,30.0,20,1.0,1.0,1.0,0.0,932.15,932.15,1.05,1.05,-8.582514452324259e-15,0.0028834561817348003,Baseline
FMNoiseSaopin,WLN,30.0,20,1.0,1.0,1.0,10.161393589382806,932.15,60.3,1.05,1.15,7.526471275110181,2.1389479603385553,Recommended
FMNoiseSaopin,FDC,30.0,20,1.0,1.0,1.0,0.0030681934027374427,932.15,932.2,1.05,1.05,-0.041622862220671644,0.26581030106171966,Neutral
FMNoiseSaopin,adapt_filter,30.0,20,1.0,1.0,1.0,33.99198761309532,932.15,1.0,1.05,220.15,-0.16458522264067524,23.43471240310464,Recommended
FMNoiseSaopin,FrFT,30.0,20,1.0,1.0,0.95,0.5730865600182904,932.15,845.4,1.05,1.05,-0.3528802531914522,36.24176669691224,Harmful/Not demonstrated
FMNoiseSaopin,qpzh,30.0,20,1.0,1.0,0.9,13.158737910669677,932.15,587.9,1.05,2.35,-0.6788062868870934,0.8002896065590903,Harmful/Not demonstrated
AMNoiseGaiJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.3,1.3,-7.762836105753968e-15,0.0029560993425548077,Baseline
AMNoiseGaiJam,WLN,0.0,20,1.0,1.0,1.0,-0.42417249585126593,0.0,0.0,1.3,1.35,2.307789623058394,2.1761313342722133,Harmful/Not demonstrated
AMNoiseGaiJam,FDC,0.0,20,1.0,1.0,1.0,0.2197878608574692,0.0,0.0,1.3,1.15,-1.0076606258207963,0.26821664650924504,Conditional
AMNoiseGaiJam,adapt_filter,0.0,20,1.0,1.0,1.0,8.31705047211691,0.0,1.0,1.3,214.95,-0.1138028284730164,23.952658305643126,Recommended
AMNoiseGaiJam,FrFT,0.0,20,1.0,1.0,1.0,-0.24160869882831584,0.0,0.0,1.3,1.25,-0.31940091064075865,36.689827041118406,Conditional
AMNoiseGaiJam,qpzh,0.0,20,1.0,1.0,1.0,1.4529002893348955,0.0,0.0,1.3,1.15,0.11477149117981145,0.6676229531876743,Recommended
AMNoiseGaiJam,Identity,10.0,20,1.0,1.0,1.0,0.0,0.1,0.1,1.3,1.3,-6.8467250125283395e-15,0.0029561546398326755,Baseline
AMNoiseGaiJam,WLN,10.0,20,1.0,1.0,1.0,1.558531419380945,0.1,0.1,1.3,1.1,3.545037234753098,2.2469729417935014,Recommended
AMNoiseGaiJam,FDC,10.0,20,1.0,1.0,1.0,0.44418808216582945,0.1,0.0,1.3,1.2,-2.2311347687740315,0.2693375980015844,Conditional
AMNoiseGaiJam,adapt_filter,10.0,20,1.0,1.0,1.0,16.47480224509055,0.1,1.0,1.3,229.65,-0.058482728707594654,23.70967490132898,Recommended
AMNoiseGaiJam,FrFT,10.0,20,1.0,1.0,1.0,0.05280390786405729,0.1,0.15,1.3,1.35,-0.2953863376176716,37.20412295369897,Neutral
AMNoiseGaiJam,qpzh,10.0,20,1.0,1.0,1.0,2.7965276443081675,0.1,0.9,1.3,1.3,0.3606027601371146,0.7062311458867043,Recommended
AMNoiseGaiJam,Identity,20.0,20,1.0,0.05,0.05,0.0,0.7,0.7,1.15,1.15,-5.400233812698409e-15,0.0028563052183017135,Baseline
AMNoiseGaiJam,WLN,20.0,20,1.0,0.05,0.6,2.3583533832376604,0.7,0.65,1.15,1.1,4.101311906469937,2.144358304212801,Recommended
AMNoiseGaiJam,FDC,20.0,20,1.0,0.05,0.45,0.055277597106684076,0.7,0.55,1.15,1.25,-2.6531797687661074,0.264306299504824,Conditional
AMNoiseGaiJam,adapt_filter,20.0,20,1.0,0.05,1.0,24.222209836394846,0.7,1.0,1.15,219.4,-0.003132527848649427,23.483770800521597,Recommended
AMNoiseGaiJam,FrFT,20.0,20,1.0,0.05,0.05,0.11755232159669848,0.7,0.7,1.15,1.3,-0.23653545648411223,36.24176453740802,Neutral
AMNoiseGaiJam,qpzh,20.0,20,1.0,0.05,0.2,3.673103553325034,0.7,1.0,1.15,1.25,1.116908149249097,0.6903437461005524,Recommended
AMNoiseGaiJam,Identity,30.0,20,1.0,0.0,0.0,0.0,314.65,314.65,1.1,1.1,-3.0858478929705195e-15,0.0028104521334171295,Baseline
AMNoiseGaiJam,WLN,30.0,20,1.0,0.0,0.0,1.7661335703340673,314.65,79.2,1.1,1.0,3.4765372355750737,2.174539549741894,Recommended
AMNoiseGaiJam,FDC,30.0,20,1.0,0.0,0.0,-0.5365184474521338,314.65,400.75,1.1,1.05,-3.2474722064756696,0.26393954758532345,Conditional
AMNoiseGaiJam,adapt_filter,30.0,20,1.0,0.0,1.0,29.446755875066266,314.65,1.0,1.1,230.7,-0.1039898264429268,23.524679345428012,Recommended
AMNoiseGaiJam,FrFT,30.0,20,1.0,0.0,0.0,-0.2012316712378181,314.65,314.65,1.1,1.25,-0.9383332728054719,36.17432914325036,Harmful/Not demonstrated
AMNoiseGaiJam,qpzh,30.0,20,1.0,0.0,0.0,-7.8747305918197466,314.65,319.15,1.1,1.25,-13.893834400588009,0.8041022112593055,Harmful/Not demonstrated
SMSP,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.3,1.3,-9.643274665532876e-15,0.0028520909836515784,Baseline
SMSP,WLN,0.0,20,1.0,1.0,1.0,-0.17139430233802475,0.0,0.5,1.3,1.35,2.0102469629184023,2.1607667033094913,Neutral
SMSP,FDC,0.0,20,1.0,1.0,1.0,3.552713678800501e-16,0.0,0.0,1.3,1.3,-8.437865332341267e-15,0.26621880242601037,Neutral
SMSP,adapt_filter,0.0,20,1.0,1.0,1.0,13.712267718343053,0.0,1.0,1.3,216.35,-0.2845018282771775,23.57247290201485,Recommended
SMSP,FrFT,0.0,20,1.0,1.0,1.0,-0.222538852273634,0.0,0.2,1.3,1.2,-0.35539363743547564,36.40859785373323,Conditional
SMSP,qpzh,0.0,20,1.0,1.0,1.0,2.6527324110224986,0.0,0.35,1.3,1.3,-0.042570044356303,0.6848500634077936,Recommended
SMSP,Identity,10.0,20,1.0,0.95,0.95,0.0,1.05,1.05,1.3,1.3,-9.643274665532876e-15,0.002833310281857848,Baseline
SMSP,WLN,10.0,20,1.0,0.95,0.0,1.6137196485942802,1.05,2.0,1.3,1.35,3.61438791479969,2.151916702860035,Harmful/Not demonstrated
SMSP,FDC,10.0,20,1.0,0.95,0.95,-7.105427357601002e-16,1.05,1.05,1.3,1.3,-9.112894558928567e-15,0.26754575374070555,Neutral
SMSP,adapt_filter,10.0,20,1.0,0.95,1.0,23.89101156519404,1.05,1.0,1.3,223.05,-0.9326023404510029,23.51977070211433,Recommended
SMSP,FrFT,10.0,20,1.0,0.95,0.1,0.6926445886444377,1.05,1.65,1.3,1.2,-0.3881304383698458,36.59394785063341,Harmful/Not demonstrated
SMSP,qpzh,10.0,20,1.0,0.95,1.0,3.521449331189884,1.05,2.05,1.3,1.3,0.41328949432521717,0.6881980050820857,Recommended
SMSP,Identity,20.0,20,1.0,0.0,0.0,0.0,518.0,518.0,1.3,1.3,-8.678947198979587e-15,0.00286244903691113,Baseline
SMSP,WLN,20.0,20,1.0,0.0,0.0,2.976007984989624,518.0,518.0,1.3,1.35,4.8431666059334955,2.149785408983007,Recommended
SMSP,FDC,20.0,20,1.0,0.0,0.0,-4.884981308350689e-16,518.0,518.0,1.3,1.3,-8.148567092375279e-15,0.26837510522454977,Neutral
SMSP,adapt_filter,20.0,20,1.0,0.0,1.0,32.88778732964462,518.0,1.0,1.3,237.45,-3.7822229123377094,23.659189548925497,Conditional
SMSP,FrFT,20.0,20,1.0,0.0,0.0,0.9243042717256966,518.0,518.0,1.3,1.45,-0.045576155160343766,36.414508303278126,Recommended
SMSP,qpzh,20.0,20,1.0,0.0,0.0,1.6660185703624038,518.0,517.0,1.3,2.35,-5.263665031623322,0.7937853428302333,Conditional
SMSP,Identity,30.0,20,1.0,0.0,0.0,0.0,518.0,518.0,1.3,1.3,-2.8929823996598616e-15,0.002845804556272924,Baseline
SMSP,WLN,30.0,20,1.0,0.0,0.0,0.9280869521322359,518.0,518.0,1.3,1.35,2.740789124902317,2.165733353467658,Recommended
SMSP,FDC,30.0,20,1.0,0.0,0.0,-1.1102230246251565e-15,518.0,518.0,1.3,1.3,-2.5554677863662113e-15,0.26454169128555804,Neutral
SMSP,adapt_filter,30.0,20,1.0,0.0,1.0,33.50638851597149,518.0,1.0,1.3,224.95,-3.1628561459119875,23.597943800268695,Conditional
SMSP,FrFT,30.0,20,1.0,0.0,0.0,-1.3659551753307273,518.0,518.0,1.3,1.3,-2.3354941288090236,36.282014701282606,Harmful/Not demonstrated
SMSP,qpzh,30.0,20,1.0,0.0,0.0,-3.9371909017707702,518.0,517.0,1.3,2.3,-10.87742678618967,0.7929289917228743,Conditional
NoiseProductJamming,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1,1.1,-8.341432585685937e-15,0.002914608921855688,Baseline
NoiseProductJamming,WLN,0.0,20,1.0,1.0,1.0,0.9093355540972856,0.0,0.05,1.1,0.85,2.0766586086238865,2.124154000193812,Recommended
NoiseProductJamming,FDC,0.0,20,1.0,1.0,1.0,-0.001739189126581664,0.0,0.0,1.1,1.1,-0.12688925407258503,0.2663083578227088,Neutral
NoiseProductJamming,adapt_filter,0.0,20,1.0,1.0,1.0,11.890184857627755,0.0,1.0,1.1,223.35,-0.13453929159180203,23.54457479668781,Recommended
NoiseProductJamming,FrFT,0.0,20,1.0,1.0,1.0,-0.14418346579906113,0.0,0.05,1.1,0.95,-0.3284817748533368,36.373118704068474,Conditional
NoiseProductJamming,qpzh,0.0,20,1.0,1.0,1.0,5.600496007986569,0.0,0.1,1.1,0.95,0.3167156487448247,0.6711457564961165,Recommended
NoiseProductJamming,Identity,10.0,20,1.0,0.3,0.3,0.0,0.9,0.9,0.95,0.95,-7.521754239115643e-15,0.002845795825123787,Baseline
NoiseProductJamming,WLN,10.0,20,1.0,0.3,0.7,2.8940369390114364,0.9,0.75,0.95,0.85,3.3092959552437713,2.117762400303036,Recommended
NoiseProductJamming,FDC,10.0,20,1.0,0.3,0.3,0.00930912336459091,0.9,0.9,0.95,1.0,-0.28506378745796057,0.26472084573470056,Neutral
NoiseProductJamming,adapt_filter,10.0,20,1.0,0.3,1.0,20.714023892177657,0.9,1.0,0.95,219.25,-0.21671866162724066,23.53155835007783,Recommended
NoiseProductJamming,FrFT,10.0,20,1.0,0.3,0.25,-0.09083508856652926,0.9,0.85,0.95,0.9,-0.30106997191147866,36.27925641776528,Harmful/Not demonstrated
NoiseProductJamming,qpzh,10.0,20,1.0,0.3,1.0,15.702924513292672,0.9,0.9,0.95,0.85,-0.16339517552283822,0.6924622459337115,Recommended
NoiseProductJamming,Identity,20.0,20,1.0,0.0,0.0,0.0,135.5,135.5,0.95,0.95,-5.0627191994047584e-15,0.002812602906487882,Baseline
NoiseProductJamming,WLN,20.0,20,1.0,0.0,0.1,2.8070582217948514,135.5,53.8,0.95,0.75,3.0657999363968,2.1113354043336585,Recommended
NoiseProductJamming,FDC,20.0,20,1.0,0.0,0.0,-0.026230675425842696,135.5,135.5,0.95,1.05,-0.4101201809799967,0.2643686981173232,Neutral
NoiseProductJamming,adapt_filter,20.0,20,1.0,0.0,1.0,27.295019765732366,135.5,1.0,0.95,218.5,-1.438482751502041,23.578289602301084,Conditional
NoiseProductJamming,FrFT,20.0,20,1.0,0.0,0.0,-0.03014864380870099,135.5,135.25,0.95,0.9,-0.23680492001838624,36.376426997594535,Conditional
NoiseProductJamming,qpzh,20.0,20,1.0,0.0,0.15,1.2550407829442505,135.5,133.5,0.95,1.25,-13.127330559182491,0.7850855065044016,Conditional
NoiseProductJamming,Identity,30.0,20,1.0,0.0,0.0,0.0,163.95,163.95,1.05,1.05,-1.976871306434239e-15,0.0028374575776979327,Baseline
NoiseProductJamming,WLN,30.0,20,1.0,0.0,0.0,0.9100285206008237,163.95,159.0,1.05,0.8,1.150406176342462,2.107987503404729,Recommended
NoiseProductJamming,FDC,30.0,20,1.0,0.0,0.0,-0.06377502457209143,163.95,163.9,1.05,1.15,-0.4703903914516845,0.2663935942109674,Conditional
NoiseProductJamming,adapt_filter,30.0,20,1.0,0.0,1.0,29.247563357495476,163.95,1.0,1.05,206.3,-3.6491596713658203,23.538699906202964,Conditional
NoiseProductJamming,FrFT,30.0,20,1.0,0.0,0.0,0.06316682446650441,163.95,163.95,1.05,1.0,-0.14701180888308923,36.28159380168654,Conditional
NoiseProductJamming,qpzh,30.0,20,1.0,0.0,0.0,-7.265036703580165,163.95,163.9,1.05,1.3,-19.958592133063085,0.791399902664125,Conditional
NoiseConvolutionJamming,Identity,0.0,20,1.0,1.0,1.0,0.0,0.4,0.4,1.05,1.05,-8.630730825651923e-15,0.0028352485969662666,Baseline
NoiseConvolutionJamming,WLN,0.0,20,1.0,1.0,1.0,0.26106564011273703,0.4,0.45,1.05,0.85,2.4219088053614737,2.1348915935959667,Recommended
NoiseConvolutionJamming,FDC,0.0,20,1.0,1.0,1.0,-3.552713678800501e-16,0.4,0.4,1.05,1.05,-7.762836105753965e-15,0.26293534610886127,Neutral
NoiseConvolutionJamming,adapt_filter,0.0,20,1.0,1.0,1.0,13.415217152606328,0.4,1.0,1.05,219.95,-0.16508607645297643,23.514895848347805,Recommended
NoiseConvolutionJamming,FrFT,0.0,20,1.0,1.0,1.0,-0.27529362798884965,0.4,0.45,1.05,1.0,-0.3390232112889481,36.309091601287946,Conditional
NoiseConvolutionJamming,qpzh,0.0,20,1.0,1.0,1.0,1.582622068753265,0.4,0.35,1.05,1.05,0.45695926805088594,0.6256916560232639,Recommended
NoiseConvolutionJamming,Identity,10.0,20,1.0,0.45,0.45,0.0,28.35,28.35,1.05,1.05,-8.534298078996594e-15,0.0028583977837115526,Baseline
NoiseConvolutionJamming,WLN,10.0,20,1.0,0.45,0.55,2.2224803819621677,28.35,1.15,1.05,1.2,4.085251066709048,2.132247795816511,Recommended
NoiseConvolutionJamming,FDC,10.0,20,1.0,0.45,0.45,8.881784197001253e-17,28.35,28.35,1.05,1.05,-7.521754239115642e-15,0.2648978406796232,Neutral
NoiseConvolutionJamming,adapt_filter,10.0,20,1.0,0.45,1.0,22.906488011712078,28.35,1.0,1.05,214.5,-0.3970301711274854,23.565931199118495,Recommended
NoiseConvolutionJamming,FrFT,10.0,20,1.0,0.45,0.35,-0.21760896630209298,28.35,88.0,1.05,1.1,-0.31453140258135537,36.28975004539825,Harmful/Not demonstrated
NoiseConvolutionJamming,qpzh,10.0,20,1.0,0.45,0.95,2.8542337503707995,28.35,28.3,1.05,1.15,0.49338730019106647,0.6936602498171851,Recommended
NoiseConvolutionJamming,Identity,20.0,20,1.0,0.0,0.0,0.0,314.6,314.6,1.05,1.05,-6.123479412613375e-15,0.0028479058528319,Baseline
NoiseConvolutionJamming,WLN,20.0,20,1.0,0.0,0.0,2.233465789965483,314.6,251.2,1.05,0.85,4.017179089532545,2.138433454092592,Recommended
NoiseConvolutionJamming,FDC,20.0,20,1.0,0.0,0.0,2.6645352591003756e-16,314.6,314.6,1.05,1.05,-5.255584692715418e-15,0.26446024130564183,Neutral
NoiseConvolutionJamming,adapt_filter,20.0,20,1.0,0.0,1.0,29.972098973150604,314.6,1.0,1.05,215.35,-3.900927241244495,23.556012348853983,Conditional
NoiseConvolutionJamming,FrFT,20.0,20,1.0,0.0,0.0,-0.20332777185179474,314.6,314.65,1.05,1.1,-0.4243685608911096,36.38832290307619,Harmful/Not demonstrated
NoiseConvolutionJamming,qpzh,20.0,20,1.0,0.0,0.0,-2.3302706070471064,314.6,314.6,1.05,1.75,-7.6008272332776015,0.7873042486608028,Harmful/Not demonstrated
NoiseConvolutionJamming,Identity,30.0,20,1.0,0.0,0.0,0.0,355.45,355.45,1.0,1.0,-2.3143859197278896e-15,0.0028084032237529755,Baseline
NoiseConvolutionJamming,WLN,30.0,20,1.0,0.0,0.0,0.8757316673285119,355.45,340.8,1.0,0.9,2.6627086634653905,2.126814454095438,Recommended
NoiseConvolutionJamming,FDC,30.0,20,1.0,0.0,0.0,1.1768364061026659e-15,355.45,355.45,1.0,1.0,-9.643274665532886e-17,0.2633396041346714,Neutral
NoiseConvolutionJamming,adapt_filter,30.0,20,1.0,0.0,1.0,31.62667447712252,355.45,1.0,1.0,218.05,-4.876453140125472,23.5253999941051,Conditional
NoiseConvolutionJamming,FrFT,30.0,20,1.0,0.0,0.0,-0.19912487087556513,355.45,355.4,1.0,1.0,-0.4453153857140603,36.27933755633421,Conditional
NoiseConvolutionJamming,qpzh,30.0,20,1.0,0.0,0.0,-8.050274005261794,355.45,355.3,1.0,1.7,-13.603590155749387,0.8086729561910033,Conditional
